ID,Binding Affinity,Tanimoto Similarity,Centroid Distance
LGD,-9.0,0.058333333333333334,0.27704466973188746
LMB,-2.9,0.025,2.2444644920859322
M9R,1.1,0.06802721088435375,1.8658365951331235
MBI,1.9,0.07801418439716312,0.5690614389132759
MES,-5.0,0.05747126436781609,0.8074083088042905
MFF,-4.2,0.0684931506849315,2.5922306978863947
MG,-1.5,0.0,5.08916038195869
MI8,-4.4,0.0684931506849315,1.8595611634159757
MPO,-5.3,0.05555555555555555,0.431288965224691
MSE,-3.5,0.02564102564102564,2.195463640894523
MTA,-7.3,0.10576923076923077,0.14286547590775545
MXD,-7.2,0.09782608695652174,0.42594243117778097
N59,-3.5,0.07042253521126761,0.5825945068448083
N5X,-4.4,0.08571428571428572,0.4615472867514834
NA,-1.5,0.0,3.797313146227393
NK,-5.6,0.06329113924050633,3.6389948902320515
NO3,-2.4,0.03076923076923077,6.70639607939146
NXF,1.1,0.08108108108108109,0.414577917559403
ODN,-7.3,0.2524271844660194,0.6707348825793562
P2R,-2.2,0.05181347150259067,4.2537376338742625
PEG,-3.1,0.012987012987012988,2.9225360685210533
PGE,-3.6,0.011627906976744186,1.7888545829452271
PJ0,-6.3,0.06896551724137931,0.7848130567052911
PK0,-8.1,0.08943089430894309,0.310069958412564
PK1,-8.5,0.09734513274336283,0.2685498801956536
PO4,-2.6,0.029850746268656716,3.4205675401281614
PRO,-4.3,0.0945945945945946,2.357926252579727
PTR,-6.5,0.05154639175257732,0.17667017726525316
PUI,-6.3,0.06896551724137931,0.6003801348436705
PWL,-5.6,0.046511627906976744,0.9490506836594611
PWX,-6.5,0.05747126436781609,0.4628281533221986
Q73,-5.4,0.06993006993006994,1.5797878725454386
QKY,-8.2,0.14018691588785046,0.22181354678472348
QL1,-3.3,0.1565217391304348,0.4871974133341739
QN4,-6.6,0.0425531914893617,0.1733868154420065
R18,-9.9,0.3409090909090909,0.20003631142402803
RB1,-7.8,0.08108108108108109,0.18551676238245343
RJA,-5.5,0.07092198581560284,1.6409349572351362
RLJ,-6.8,0.0546875,1.7725606500111613
RLL,-3.8,0.05,0.21821898646875512
SAH,-6.6,0.09166666666666666,0.34837442979741406
SAM,-6.1,0.09917355371900827,0.18329356958730803
SFG,-6.5,0.09016393442622951,0.30947150547635716
SNC,-3.4,0.012658227848101266,2.7289394937965272
SO4,-2.8,0.029850746268656716,6.112452440639746
STR,-9.2,0.15527950310559005,0.07189730318547444
T3,-5.4,0.05217391304347826,0.182188309385854
TES,-10.1,0.5526315789473685,0.17432308057999701
UNL,-6.3,0.05309734513274336,0.7137390439512863
UNX,-1.5,0.0,4.735315164136771
V6A,-8.5,0.058394160583941604,0.6251973713385474
WFM,-0.5,0.11678832116788321,2.9148660273617804
WFS,-1.2,0.125,4.419729900410638
WFV,-1.6,0.13768115942028986,0.39374982861698554
YFU,0.3,0.13815789473684212,3.3697493732141424
YJG,-7.5,0.03932584269662921,0.6205490103233983
YLO,-8.4,0.03571428571428571,0.8157194410214508
YLQ,-8.1,0.056451612903225805,0.32528870401667204
ZK5,-8.7,0.43478260869565216,0.07434236639503723
ZLK,1.8,0.08695652173913043,0.39081594488713234
ZN,-1.5,0.0,6.207992801853587
ZR1,-4.4,0.12878787878787878,0.4062314438807543
ZR4,-6.1,0.08943089430894309,0.19706348637147023
